Date,Adult care homes - Cumulative number that have reported a suspected COVID-19 case,Adult care homes - Proportion that have reported a suspected COVID-19 case,Adult care homes - Cumulative number that have reported more than one suspected COVID-19 case,Adult care homes - Number with current suspected COVID-19 cases,Adult care homes - Proportion with current suspected COVID-19 cases,Adult care homes - Cumulative number of suspected COVID-19 cases,Adult care homes - Daily number of new suspected COVID-19 cases
2020-04-11,406,37,202,NA,NA,1095,35
2020-04-12,408,38,204,NA,NA,1124,29
2020-04-13,414,38,214,NA,NA,1209,85
2020-04-14,433,40,225,NA,NA,1295,86
2020-04-15,444,41,239,NA,NA,1398,103
2020-04-16,456,42,251,NA,NA,1498,100
2020-04-17,459,42,267,NA,NA,1621,123
2020-04-18,462,43,269,NA,NA,1663,42
2020-04-19,462,43,272,NA,NA,1677,14
2020-04-20,475,44,286,NA,NA,1873,196
2020-04-21,495,46,308,384,35,2085,212
2020-04-22,506,47,318,NA,NA,2293,208
2020-04-23,516,48,332,NA,NA,2445,152
2020-04-24,526,49,342,NA,NA,2621,176
2020-04-25,529,49,345,NA,NA,2690,69
2020-04-26,530,49,345,NA,NA,2731,41
2020-04-27,538,50,354,NA,NA,2935,204
2020-04-28,547,51,360,429,40,3095,160
2020-04-29,554,51,367,NA,NA,3221,126
2020-04-30,562,52,377,NA,NA,3345,124
2020-05-01,568,52,384,NA,NA,3466,121
2020-05-02,569,53,388,NA,NA,3500,34
2020-05-03,571,53,390,NA,NA,3558,58
2020-05-04,576,53,402,NA,NA,3779,221
2020-05-05,585,54,408,453,42,3948,169
2020-05-06,593,55,415,NA,NA,4139,191
2020-05-07,599,55,420,470,44,4281,142
2020-05-08,608,56,429,NA,NA,4406,125
2020-05-09,609,56,431,474,44,4445,39
2020-05-10,609,56,434,434,40,4503,58
2020-05-11,613,57,440,432,40,4643,140
2020-05-12,620,57,448,436,41,4738,95
2020-05-13,624,58,457,440,41,4869,131
2020-05-14,629,58,459,488,45,4975,106
2020-05-15,632,58,463,486,45,5069,94
2020-05-16,632,58,463,486,45,5096,27
2020-05-17,632,58,463,484,45,5126,30
2020-05-18,634,59,467,482,45,5306,180
2020-05-19,638,59,470,484,45,5363,57
2020-05-20,644,59,474,480,44,5463,100
2020-05-21,651,60,476,485,45,5532,69
2020-05-22,653,60,481,484,45,5593,61
2020-05-23,655,60,482,485,45,5635,42
2020-05-24,655,60,482,486,45,5652,17
2020-05-25,658,61,487,485,45,5759,107
2020-05-26,662,61,490,477,44,5819,60
2020-05-27,665,61,493,478,44,5853,34
2020-05-28,667,62,496,488,45,5912,59
