Date,COVID-19 patients in ICU - Confirmed - Length of stay 28 days or less,COVID-19 patients in hospital - Confirmed - Length of stay 28 days or less,COVID-19 patients in ICU - Confirmed - Length of stay more than 28 days
2020-09-11,6,45,NA
2020-09-12,7,42,NA
2020-09-13,6,45,NA
2020-09-14,6,51,NA
2020-09-15,6,48,NA
2020-09-16,6,51,NA
2020-09-17,5,52,NA
2020-09-18,5,61,NA
2020-09-19,9,64,NA
2020-09-20,9,63,NA
2020-09-21,8,73,NA
2020-09-22,10,73,NA
2020-09-23,10,83,NA
2020-09-24,10,85,NA
2020-09-25,11,89,NA
2020-09-26,11,99,NA
2020-09-27,12,105,NA
2020-09-28,16,122,NA
2020-09-29,16,123,NA
2020-09-30,15,137,NA
2020-10-01,17,154,NA
2020-10-02,19,175,NA
2020-10-03,23,191,NA
2020-10-04,22,210,NA
2020-10-05,22,218,NA
2020-10-06,25,262,NA
2020-10-07,28,319,NA
2020-10-08,31,377,NA
2020-10-09,31,397,NA
2020-10-10,34,432,NA
2020-10-11,35,449,NA
2020-10-12,36,487,NA
2020-10-13,35,527,NA
2020-10-14,49,570,NA
2020-10-15,52,601,NA
2020-10-16,58,627,NA
2020-10-17,62,672,NA
2020-10-18,63,712,NA
2020-10-19,61,755,NA
2020-10-20,70,824,NA
2020-10-21,73,873,NA
2020-10-22,74,934,NA
2020-10-23,76,975,NA
2020-10-24,84,985,NA
2020-10-25,86,1016,NA
2020-10-26,90,1052,NA
2020-10-27,82,1100,NA
2020-10-28,85,1117,NA
2020-10-29,86,1152,NA
2020-10-30,83,1171,NA
2020-10-31,80,1154,NA
2020-11-01,81,1203,NA
2020-11-02,93,1235,NA
2020-11-03,92,1264,NA
2020-11-04,94,1257,NA
2020-11-05,95,1252,NA
2020-11-06,98,1237,NA
2020-11-07,105,1245,NA
2020-11-08,111,1245,NA
2020-11-09,105,1227,NA
2020-11-10,102,1239,NA
2020-11-11,93,1235,NA
2020-11-12,98,1207,NA
2020-11-13,96,1228,NA
2020-11-14,92,1198,NA
2020-11-15,100,1241,NA
2020-11-16,98,1227,NA
2020-11-17,95,1250,NA
2020-11-18,88,1241,NA
2020-11-19,85,1212,NA
2020-11-20,89,1234,NA
2020-11-21,100,1194,NA
2020-11-22,95,1170,NA
2020-11-23,84,1208,NA
2020-11-24,84,1197,NA
2020-11-25,84,1156,NA
2020-11-26,90,1125,NA
2020-11-27,80,1099,NA
2020-11-28,77,1074,NA
2020-11-29,76,1049,NA
2020-11-30,75,1041,NA
2020-12-01,70,1021,NA
2020-12-02,68,991,NA
2020-12-03,69,982,NA
2020-12-04,65,965,NA
2020-12-05,64,945,NA
2020-12-06,62,951,NA
2020-12-07,59,974,NA
2020-12-08,57,983,NA
2020-12-09,50,972,NA
2020-12-10,52,984,NA
2020-12-11,53,999,NA
2020-12-12,52,994,NA
2020-12-13,47,1015,NA
2020-12-14,46,1012,NA
2020-12-15,45,996,NA
2020-12-16,49,1031,NA
2020-12-17,50,1012,NA
2020-12-18,50,1032,NA
2020-12-19,53,1033,NA
2020-12-20,58,1061,NA
2020-12-21,59,1078,NA
2020-12-22,60,1045,NA
2020-12-23,56,1025,NA
2020-12-24,56,1008,NA
2020-12-25,47,973,NA
2020-12-26,52,985,NA
2020-12-27,54,993,NA
2020-12-28,56,1040,NA
2020-12-29,65,1092,NA
2020-12-30,69,1133,NA
2020-12-31,70,1174,NA
2021-01-01,73,1189,NA
2021-01-02,78,1212,NA
2021-01-03,81,1246,NA
2021-01-04,83,1282,NA
2021-01-05,93,1347,NA
2021-01-06,95,1384,NA
2021-01-07,100,1467,NA
2021-01-08,102,1530,NA
2021-01-09,109,1596,NA
2021-01-10,123,1598,NA
2021-01-11,126,1664,NA
2021-01-12,133,1717,NA
2021-01-13,134,1794,NA
2021-01-14,142,1840,NA
2021-01-15,141,1881,NA
2021-01-16,145,1893,NA
2021-01-17,147,1918,NA
2021-01-18,146,1959,NA
2021-01-19,150,1989,NA
2021-01-20,156,2003,12
2021-01-21,161,2004,11
2021-01-22,161,2053,11
2021-01-23,159,2026,8
2021-01-24,157,2010,9
2021-01-25,151,2016,9
2021-01-26,149,2010,14
2021-01-27,145,2016,15
2021-01-28,142,1983,14
2021-01-29,144,1958,11
2021-01-30,142,1952,10
2021-01-31,143,1941,12
2021-02-01,143,1958,14
2021-02-02,140,1934,15
2021-02-03,131,1865,17
2021-02-04,127,1812,20
2021-02-05,123,1794,20
2021-02-06,117,1729,23
2021-02-07,108,1710,29
2021-02-08,108,1672,31
2021-02-09,112,1618,31
2021-02-10,113,1542,30
2021-02-11,109,1499,28
2021-02-12,115,1472,30
2021-02-13,110,1449,33
2021-02-14,104,1443,31
2021-02-15,102,1428,35
2021-02-16,100,1383,36
2021-02-17,99,1317,33
2021-02-18,95,1261,30
2021-02-19,98,1222,32
2021-02-20,98,1154,32
2021-02-21,99,1132,32
2021-02-22,99,1141,32
2021-02-23,93,1076,32
2021-02-24,93,1018,31
2021-02-25,89,967,30
