Date,Vaccinations - By JCVI priority group - Care home residents - Number vaccinated with first dose,Vaccinations - By JCVI priority group - Care home staff - Number vaccinated with first dose,Vaccinations - By JCVI priority group - Individuals aged 80 or over living in the community - Number vaccinated,Vaccinations - By JCVI priority group - Frontline health and social care workers - Number vaccinated with first dose,Vaccinations - By JCVI priority group - Individuals aged 75 to 79 living in the community - Number vaccinated with first dose,Vaccinations - By JCVI priority group - Individuals aged 70 to 74 living in the community - Number vaccinated with first dose,Vaccinations - By JCVI priority group - Clinically extremely vulnerable - Number vaccinated with first dose,Vaccinations - By JCVI priority group - Care home residents - Number vaccinated with second dose
2021-01-25T00:00:00Z,28371,36108,115882,218985,NA,NA,NA,NA
2021-01-26T00:00:00Z,28409,37394,127658,226257,NA,NA,NA,NA
2021-01-27T00:00:00Z,28558,37792,140885,233681,NA,NA,NA,NA
2021-01-28T00:00:00Z,28648,38095,157907,240506,NA,NA,NA,NA
2021-01-29T00:00:00Z,28792,38416,170024,246803,NA,NA,NA,NA
2021-01-30T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-31T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-01T00:00:00Z,29264,39385,199261,258918,26059,NA,NA,NA
2021-02-02T00:00:00Z,29302,39570,208447,261716,39364,NA,NA,NA
2021-02-03T00:00:00Z,29404,39734,216815,264598,53851,NA,NA,NA
2021-02-04T00:00:00Z,29482,39870,223817,267106,71596,NA,NA,NA
2021-02-05T00:00:00Z,29644,40029,229219,269740,90166,44464,NA,NA
2021-02-06T00:00:00Z,29817,40225,231972,272365,105855,56110,NA,NA
2021-02-07T00:00:00Z,29863,40295,235089,273086,121447,72734,NA,NA
2021-02-08T00:00:00Z,29865,40458,236763,275631,128072,80654,NA,NA
2021-02-09T00:00:00Z,29908,40553,239095,275817,142474,103319,NA,NA
2021-02-10T00:00:00Z,29954,40658,240273,276799,152717,127098,NA,NA
2021-02-11T00:00:00Z,29978,40712,242518,278175,165242,152352,NA,NA
2021-02-12T00:00:00Z,30027,40791,244374,279718,175425,178543,NA,NA
2021-02-13T00:00:00Z,30063,40847,245981,280466,182917,202110,NA,NA
2021-02-14T00:00:00Z,30076,40877,246455,280927,187666,219074,NA,NA
2021-02-15T00:00:00Z,30103,40930,246991,282501,189504,227059,NA,NA
2021-02-16T00:00:00Z,30218,41038,NA,283622,NA,NA,NA,NA
2021-02-17T00:00:00Z,30355,41210,NA,285054,NA,NA,143752,NA
2021-02-18T00:00:00Z,30501,41501,NA,286355,NA,NA,148168,NA
2021-02-19T00:00:00Z,30670,41753,NA,287800,NA,NA,151046,NA
2021-02-20T00:00:00Z,30826,42120,NA,289059,NA,NA,153636,NA
2021-02-21T00:00:00Z,30861,42329,NA,289670,NA,NA,154399,NA
2021-02-22T00:00:00Z,30941,42461,NA,290103,NA,NA,154735,NA
2021-02-23T00:00:00Z,31035,42726,NA,291263,NA,NA,155944,NA
2021-02-24T00:00:00Z,31116,43002,NA,292690,NA,NA,157094,NA
2021-02-25T00:00:00Z,31218,43332,NA,294288,NA,NA,158018,NA
2021-02-26T00:00:00Z,31323,43644,NA,296256,NA,NA,158843,NA
2021-02-27T00:00:00Z,31419,43977,NA,298568,NA,NA,159682,NA
2021-02-28T00:00:00Z,31490,44142,NA,299587,NA,NA,160025,NA
2021-03-01T00:00:00Z,31521,44256,NA,300147,NA,NA,160157,13878
2021-03-02T00:00:00Z,31619,44464,NA,301484,NA,NA,160363,14449
2021-03-03T00:00:00Z,31707,44770,NA,303103,NA,NA,160694,15075
2021-03-04T00:00:00Z,31790,45060,NA,304760,NA,NA,161101,15885
2021-03-05T00:00:00Z,31923,45296,NA,306556,NA,NA,161684,16662
2021-03-06T00:00:00Z,32107,45469,NA,308189,NA,NA,162033,17258
2021-03-07T00:00:00Z,32225,45651,NA,308945,NA,NA,162146,17467
2021-03-08T00:00:00Z,32252,45717,NA,309596,NA,NA,162298,17622
2021-03-09T00:00:00Z,32311,45895,NA,311264,NA,NA,162431,18354
2021-03-10T00:00:00Z,32465,46136,NA,313268,NA,NA,162881,19252
2021-03-11T00:00:00Z,32542,46592,NA,315128,NA,NA,163111,19930
